Date,Time,Code,Dvalue,Price,FinalDate,Notes
25-02-2022,08:31:21,codeSC12,0.93,196.45,25-Feb-22,
25-02-2022,08:31:21,codeSC13,0.93,191.5,25-Feb-22,
25-02-2022,08:31:21,codeSC14,0.92,186.55,25-Feb-22,
25-02-2022,08:31:21,codeSC15,0.92,181.6,25-Feb-22,
25-02-2022,08:31:21,codeSC16,0.92,176.65,25-Feb-22,
25-02-2022,08:31:21,codeSC17,0.93,171.15,25-Feb-22,
25-02-2022,08:31:21,codeSC18,0.93,166,25-Feb-22,
25-02-2022,08:31:21,codeSC19,0.94,160.55,25-Feb-22,
25-02-2022,08:31:21,codeSC20,0.94,155.65,25-Feb-22,
25-02-2022,08:31:21,codeSC21,0.93,150.75,25-Feb-22,
25-02-2022,08:31:21,codeSC22,0.91,146.5,25-Feb-22,
25-02-2022,08:31:21,codeSC23,0.92,141.05,25-Feb-22,
25-02-2022,08:31:21,codeSC24,0.94,135.45,25-Feb-22,
25-02-2022,08:31:21,codeSC25,0.89,132,25-Feb-22,
25-02-2022,08:31:21,codeSC26,0.88,127.2,25-Feb-22,
25-02-2022,08:31:21,codeSC27,0.88,122.3,25-Feb-22,
25-02-2022,08:31:21,codeSC28,0.88,117.15,25-Feb-22,
25-02-2022,08:31:21,codeSC29,0.88,111.8,25-Feb-22,
25-02-2022,08:31:21,codeSC30,0.85,108.15,25-Feb-22,
25-02-2022,08:31:21,codeSC31,0.85,103.15,25-Feb-22,
25-02-2022,08:31:21,codeSC32,0.83,98.55,25-Feb-22,
25-02-2022,08:31:21,codeSC33,0.84,92.9,25-Feb-22,
25-02-2022,08:31:22,codeSC34,0.82,88.5,25-Feb-22,
25-02-2022,08:31:22,codeSC35,0.81,84.2,25-Feb-22,
25-02-2022,08:31:22,codeSC36,0.79,79.95,25-Feb-22,
25-02-2022,08:31:22,codeSC37,0.76,76.5,25-Feb-22,
25-02-2022,08:31:22,codeSC38,0.74,72.2,25-Feb-22,
25-02-2022,08:31:22,codeSC39,0.74,67.05,25-Feb-22,
25-02-2022,08:31:22,codeSC40,0.72,62.4,25-Feb-22,
25-02-2022,08:31:22,codeSC41,0.7,58.15,25-Feb-22,
25-02-2022,08:31:22,codeSC42,0.68,54.2,25-Feb-22,
25-02-2022,08:31:22,codeSC43,0.66,50.3,25-Feb-22,
25-02-2022,08:31:22,codeSC44,0.63,46.65,25-Feb-22,
25-02-2022,08:31:22,codeSC45,0.61,42.5,25-Feb-22,
25-02-2022,08:31:22,codeSC46,0.58,38.85,25-Feb-22,
25-02-2022,08:31:22,codeSC47,0.55,35.7,25-Feb-22,
25-02-2022,08:31:22,codeSC48,0.53,32.8,25-Feb-22,
25-02-2022,08:31:22,codeSC49,0.5,29.45,25-Feb-22,
25-02-2022,08:31:22,codeSC50,0.47,26.8,25-Feb-22,
25-02-2022,08:31:22,codeSC51,0.44,23.8,25-Feb-22,
25-02-2022,08:31:22,codeSC52,0.41,21.45,25-Feb-22,
25-02-2022,08:31:22,codeSC53,0.38,19.1,25-Feb-22,
25-02-2022,08:31:22,codeSC54,0.35,16.9,25-Feb-22,
25-02-2022,08:31:22,codeSC55,0.32,14.85,25-Feb-22,
25-02-2022,08:31:22,codeSC56,0.29,13.2,25-Feb-22,
25-02-2022,08:31:22,codeSC57,0.27,11.45,25-Feb-22,
25-02-2022,08:31:22,codeSC58,0.24,9.75,25-Feb-22,
25-02-2022,08:31:22,codeSC59,0.21,8.55,25-Feb-22,
25-02-2022,08:31:22,codeSC60,0.19,7.35,25-Feb-22,
25-02-2022,08:31:22,codeSC61,0.17,6.3,25-Feb-22,
25-02-2022,08:31:22,codeSC62,0.15,5.15,25-Feb-22,
25-02-2022,08:31:22,codeSC63,0.13,4.35,25-Feb-22,
25-02-2022,08:31:22,codeSC64,0.12,3.85,25-Feb-22,
25-02-2022,08:31:22,codeSC65,0.1,2.975,25-Feb-22,
25-02-2022,08:31:22,codeSC66,0.08,2.425,25-Feb-22,
25-02-2022,08:31:22,codeSC67,0.07,1.975,25-Feb-22,
25-02-2022,08:31:22,codeSC68,0.06,1.525,25-Feb-22,
25-02-2022,08:31:22,codeSC69,0.05,1.2,25-Feb-22,
25-02-2022,08:31:22,codeSC70,0.04,0.95,25-Feb-22,
25-02-2022,08:31:22,codeSC71,0.03,0.725,25-Feb-22,
25-02-2022,08:31:22,codeSC72,0.02,0.55,25-Feb-22,
25-02-2022,08:31:22,codeSC73,0.02,0.5,25-Feb-22,
25-02-2022,08:31:22,codeSC74,0.02,0.35,25-Feb-22,
25-02-2022,08:31:22,codeSP12,-0.01,0.3,25-Feb-22,
25-02-2022,08:31:22,codeSP13,-0.01,0.35,25-Feb-22,
25-02-2022,08:31:22,codeSP14,-0.01,0.35,25-Feb-22,
25-02-2022,08:31:22,codeSP15,-0.02,0.45,25-Feb-22,
25-02-2022,08:31:22,codeSP16,-0.02,0.5,25-Feb-22,
25-02-2022,08:31:23,codeSP17,-0.02,0.525,25-Feb-22,
25-02-2022,08:31:23,codeSP18,-0.02,0.625,25-Feb-22,
25-02-2022,08:31:23,codeSP19,-0.03,0.7,25-Feb-22,
25-02-2022,08:31:23,codeSP20,-0.03,0.8,25-Feb-22,
25-02-2022,08:31:23,codeSP21,-0.03,0.925,25-Feb-22,
25-02-2022,08:31:23,codeSP22,-0.04,1,25-Feb-22,
25-02-2022,08:31:23,codeSP23,-0.04,1.225,25-Feb-22,
25-02-2022,08:31:23,codeSP24,-0.05,1.325,25-Feb-22,
25-02-2022,08:31:23,codeSP25,-0.05,1.55,25-Feb-22,
25-02-2022,08:31:23,codeSP26,-0.06,1.825,25-Feb-22,
25-02-2022,08:31:23,codeSP27,-0.07,2.075,25-Feb-22,
25-02-2022,08:31:23,codeSP28,-0.08,2.35,25-Feb-22,
25-02-2022,08:31:23,codeSP29,-0.08,2.525,25-Feb-22,
25-02-2022,08:31:23,codeSP30,-0.1,3.025,25-Feb-22,
25-02-2022,08:31:23,codeSP31,-0.11,3.4,25-Feb-22,
25-02-2022,08:31:23,codeSP32,-0.12,3.65,25-Feb-22,
25-02-2022,08:31:23,codeSP33,-0.13,4.15,25-Feb-22,
25-02-2022,08:31:23,codeSP34,-0.15,4.7,25-Feb-22,
25-02-2022,08:31:23,codeSP35,-0.16,5.15,25-Feb-22,
25-02-2022,08:31:23,codeSP36,-0.18,5.75,25-Feb-22,
25-02-2022,08:31:23,codeSP37,-0.2,6.25,25-Feb-22,
25-02-2022,08:31:23,codeSP38,-0.22,7.15,25-Feb-22,
25-02-2022,08:31:23,codeSP39,-0.24,7.7,25-Feb-22,
25-02-2022,08:31:23,codeSP40,-0.27,8.65,25-Feb-22,
25-02-2022,08:31:23,codeSP41,-0.29,9.5,25-Feb-22,
25-02-2022,08:31:23,codeSP42,-0.32,10.6,25-Feb-22,
25-02-2022,08:31:23,codeSP43,-0.36,11.65,25-Feb-22,
25-02-2022,08:31:23,codeSP44,-0.39,12.9,25-Feb-22,
25-02-2022,08:31:23,codeSP45,-0.43,14.15,25-Feb-22,
25-02-2022,08:31:23,codeSP46,-0.48,15.6,25-Feb-22,
25-02-2022,08:31:23,codeSP47,-0.53,17.2,25-Feb-22,
25-02-2022,08:31:23,codeSP48,-0.58,18.85,25-Feb-22,
25-02-2022,08:31:23,codeSP49,-0.65,20.9,25-Feb-22,
25-02-2022,08:31:23,codeSP50,-0.73,23,25-Feb-22,
25-02-2022,08:31:23,codeSP51,-0.83,25.25,25-Feb-22,
25-02-2022,08:31:23,codeSP52,-1,27.75,25-Feb-22,
25-02-2022,08:31:23,codeSP53,-1,30.45,25-Feb-22,
25-02-2022,08:31:23,codeSP54,-1,33.2,25-Feb-22,
25-02-2022,08:31:23,codeSP55,-0.99,36.3,25-Feb-22,
25-02-2022,08:31:23,codeSP56,-0.99,38.95,25-Feb-22,
25-02-2022,08:31:23,codeSP57,-1,42.4,25-Feb-22,
25-02-2022,08:31:23,codeSP58,-0.99,46,25-Feb-22,
25-02-2022,08:31:23,codeSP59,-0.99,49.65,25-Feb-22,
25-02-2022,08:31:23,codeSP60,-0.99,53.85,25-Feb-22,
25-02-2022,08:31:23,codeSP61,-0.99,56.6,25-Feb-22,
25-02-2022,08:31:23,codeSP62,-1,61.45,25-Feb-22,
25-02-2022,08:31:23,codeSP63,-0.99,65.35,25-Feb-22,
25-02-2022,08:31:23,codeSP64,-1,69.15,25-Feb-22,
25-02-2022,08:31:23,codeSP65,-1,73.5,25-Feb-22,
25-02-2022,08:31:23,codeSP66,-0.99,77.1,25-Feb-22,
25-02-2022,08:31:23,codeSP67,-0.99,82.05,25-Feb-22,
25-02-2022,08:31:23,codeSP68,-0.99,86.6,25-Feb-22,
25-02-2022,08:31:23,codeSP69,-0.99,91.5,25-Feb-22,
25-02-2022,08:31:23,codeSP70,-0.99,95.95,25-Feb-22,
25-02-2022,08:31:23,codeSP71,-0.99,100.3,25-Feb-22,
25-02-2022,08:31:23,codeSP72,-1,105.15,25-Feb-22,
25-02-2022,08:31:23,codeSP73,-0.99,110.4,25-Feb-22,
25-02-2022,08:31:24,codeSP74,-0.99,115,25-Feb-22,
25-02-2022,08:31:24,codeSC90,0.96,360.4,28-Feb-22,
25-02-2022,08:31:24,codeSC91,0.95,356.55,28-Feb-22,
25-02-2022,08:31:24,codeSC92,0.95,352.15,28-Feb-22,
25-02-2022,08:31:24,codeSC93,0.96,345.4,28-Feb-22,
25-02-2022,08:31:24,codeSC94,0.95,342.35,28-Feb-22,
25-02-2022,08:31:24,codeSC95,0.96,335.65,28-Feb-22,
25-02-2022,08:31:24,codeSC96,0.94,332.95,28-Feb-22,
25-02-2022,08:31:24,codeSC97,0.96,325.95,28-Feb-22,
25-02-2022,08:31:24,codeSC98,0.95,321,28-Feb-22,
25-02-2022,08:31:24,codeSC99,0.94,318,28-Feb-22,
25-02-2022,08:31:24,codeSC100,0.95,311.15,28-Feb-22,
25-02-2022,08:31:24,codeSC101,0.94,307.7,28-Feb-22,
25-02-2022,08:31:24,codeSC102,0.94,302.5,28-Feb-22,
25-02-2022,08:31:24,codeSC103,0.96,296.1,28-Feb-22,
25-02-2022,08:31:24,codeSC104,0.94,292.8,28-Feb-22,
25-02-2022,08:31:24,codeSC105,0.95,286.45,28-Feb-22,
25-02-2022,08:31:24,codeSC106,0.94,282.85,28-Feb-22,
25-02-2022,08:31:24,codeSC107,0.94,277.5,28-Feb-22,
25-02-2022,08:31:24,codeSC108,0.94,273.25,28-Feb-22,
25-02-2022,08:31:24,codeSC109,0.94,268.3,28-Feb-22,
25-02-2022,08:31:24,codeSC110,0.94,262.95,28-Feb-22,
25-02-2022,08:31:24,codeSC111,0.93,258.5,28-Feb-22,
25-02-2022,08:31:24,codeSC112,0.93,253.6,28-Feb-22,
25-02-2022,08:31:24,codeSC113,0.95,247,28-Feb-22,
25-02-2022,08:31:24,codeSC114,0.93,243.65,28-Feb-22,
25-02-2022,08:31:24,codeSC115,0.94,237.5,28-Feb-22,
25-02-2022,08:31:24,codeSC116,0.94,232.6,28-Feb-22,
25-02-2022,08:31:24,codeSC117,0.93,228.85,28-Feb-22,
25-02-2022,08:31:24,codeSC118,0.93,222.95,28-Feb-22,
25-02-2022,08:31:24,codeSC119,0.92,219.4,28-Feb-22,
25-02-2022,08:31:24,codeSC120,0.92,214.15,28-Feb-22,
25-02-2022,08:31:24,codeSC121,0.91,210.55,28-Feb-22,
25-02-2022,08:31:24,codeSC122,0.93,203.4,28-Feb-22,
25-02-2022,08:31:24,codeSC123,0.91,199.45,28-Feb-22,
25-02-2022,08:31:24,codeSC124,0.92,193.85,28-Feb-22,
25-02-2022,08:31:24,codeSC125,0.91,190.1,28-Feb-22,
25-02-2022,08:31:24,codeSC126,0.89,186.45,28-Feb-22,
25-02-2022,08:31:24,codeSC127,0.91,179.9,28-Feb-22,
25-02-2022,08:31:24,codeSC128,0.89,176.65,28-02-2022,
25-02-2022,08:31:24,codeSC129,0.89,170.6,28-02-2022,
25-02-2022,08:31:24,codeSC130,0.88,166.65,28-02-2022,
25-02-2022,08:31:24,codeSC131,0.89,161.1,28-02-2022,
25-02-2022,08:31:24,codeSC132,0.87,157.75,28-02-2022,
25-02-2022,08:31:24,codeSC133,0.86,153.2,28-02-2022,
25-02-2022,08:31:24,codeSC134,0.87,147.35,28-02-2022,
25-02-2022,08:31:24,codeSC135,0.86,142.85,28-02-2022,
25-02-2022,08:31:24,codeSC136,0.85,138.8,28-02-2022,
25-02-2022,08:31:24,codeSC137,0.84,133.9,28-02-2022,
25-02-2022,08:31:24,codeSC138,0.84,129.3,28-02-2022,
25-02-2022,08:31:24,codeSC139,0.84,123.45,28-02-2022,
25-02-2022,08:31:24,codeSC140,0.83,119.15,28-02-2022,
25-02-2022,08:31:24,codeSC141,0.81,116.6,28-02-2022,
25-02-2022,08:31:24,codeSC142,0.8,112.4,28-02-2022,
25-02-2022,08:31:24,codeSC143,0.79,107.25,28-02-2022,
25-02-2022,08:31:24,codeSC144,0.78,103.9,28-02-2022,
25-02-2022,08:31:24,codeSC145,0.77,98.6,28-02-2022,
25-02-2022,08:31:25,codeSC146,0.75,96.95,28-02-2022,
25-02-2022,08:31:25,codeSC147,0.75,90.4,28-02-2022,
25-02-2022,08:31:25,codeSC148,0.73,87.7,28-02-2022,
25-02-2022,08:31:25,codeSC149,0.71,84.35,28-02-2022,
25-02-2022,08:31:25,codeSC150,0.7,80.45,28-02-2022,
25-02-2022,08:31:25,codeSC151,0.69,74.8,28-02-2022,
25-02-2022,08:31:25,codeSC152,0.67,71.85,28-02-2022,
25-02-2022,08:31:25,codeSC153,0.66,67.6,28-02-2022,
